word,concept,hint
subtítulos,películas,Traducción escrita sincronizada

pizza,comida,Preparación compartida de base circular
asado,comida,Ritual social de cocción lenta
empanada,comida,Contenido cerrado en masa
hamburguesa,comida,Estructura apilada portátil
milanesa,comida,Cobertura crujiente tradicional
fideos,comida,Base neutra adaptable
arroz,comida,Acompañamiento versátil cotidiano
ensalada,comida,Composición fresca variable
pan,comida,Elemento básico universal
queso,comida,Derivado sólido con variaciones
sopa,comida,Preparación líquida caliente
tarta,comida,Base horneada con relleno
pollo,comida,Proteína común adaptable
pescado,comida,Ingrediente sensible a la cocción
carne,comida,Centro de múltiples platos
verduras,comida,Grupo diverso complementario
fruta,comida,Opción dulce natural
postre,comida,Cierre esperado de comida
helado,comida,Preparación fría cremosa
chocolate,comida,Sabor intenso asociado al placer
torta,comida,Preparación dulce celebratoria
galletitas,comida,Snack seco repetido
sándwich,comida,Comida armada portátil
mayonesa,comida,Condimento emulsionado suave
aceite,comida,Medio de cocción esencial
sal,comida,Potenciador mínimo imprescindible
azúcar,comida,Dulzor base elemental
vinagre,comida,Acidez correctora sutil
café,comida,Bebida estimulante oscura
té,comida,Infusión suave ritual
